Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),3.646280094433034e-06,0.0005560577144010377,0,0,128.0956937799043,1603.9890506366446,HLA-DRB5;HLA-DRA;CTSS
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),3.646280094433034e-06,0.0005560577144010377,0,0,128.0956937799043,1603.9890506366446,HLA-DRB5;HLA-DRA;CTSS
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),6.893746161235498e-06,0.0007008641930589424,0,0,101.38068181818181,1204.8988507741963,HLA-DRB5;HLA-DRA;CTSS
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),0.00016881704999061384,0.010297840049427444,0,0,129.3840579710145,1123.919846073114,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),0.00016881704999061384,0.010297840049427444,0,0,129.3840579710145,1123.919846073114,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.0002222352528501899,0.01129695868655132,0,0,110.88819875776397,932.7664716142953,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),0.0002828654348289352,0.012324851088975033,0,0,97.0163043478261,792.6755243789264,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),0.0007435785842876662,0.028348933525967273,0,0,57.45571658615137,413.91305658596303,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Cellular Response To Mechanical Stimulus (GO:0071260),0.0013455645633632662,0.03923889275187665,0,0,41.90364277320799,277.02253538054475,IRF1;LTBR
GO_Biological_Process_2023,Mesodermal Cell Fate Commitment (GO:0001710),0.001397243736334763,0.03923889275187665,0,0,inf,inf,KLF4
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),0.0014151731812152234,0.03923889275187665,0,0,40.79862700228833,267.6595297695322,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.0015594645543770215,0.03963639075708263,0,0,38.754347826086956,250.48534589631547,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),0.0019495835116265577,0.04270379653414038,0,0,34.43864734299517,214.90196405929655,LTBR;CTSS
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),0.00196017426714087,0.04270379653414038,0,0,6.548706240487062,40.829362200384544,ZFP36;KDM1B;IRF1;IRF2;KLF4
GO_Biological_Process_2023,Regulation Of T Cell Activation (GO:0050863),0.002203630498347392,0.044807153466396965,0,0,32.280797101449274,197.48258779271546,HLA-DRB5;HLA-DRA
GO_Biological_Process_2023,Regulation Of Immune Response (GO:0050776),0.002659952090372866,0.04731947035683764,0,0,29.227235438884332,173.3013483866196,IRF1;HLA-DRA
GO_Biological_Process_2023,Gamma-Aminobutyric Acid Metabolic Process (GO:0009448),0.002792624480075664,0.04731947035683764,0,0,744.4166666666666,4377.745770145036,ALDH1A1
GO_Biological_Process_2023,Purine-Containing Compound Catabolic Process (GO:0072523),0.002792624480075664,0.04731947035683764,0,0,744.4166666666666,4377.745770145036,DPYD
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),0.004323400515451217,0.0479230532415119,0,0,6.870183758150563,37.399308842853664,ZFP36;KDM1B;IRF2;KLF4
