Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Sulfurtransferase Activity (GO:0016783),0.009741528577160348,0.05468731259652558,0,0,124.03472222222223,574.4491082213857,MOCS3
GO_Molecular_Function_2023,Nucleotidyltransferase Activity (GO:0016779),0.012508059937159807,0.05468731259652558,0,0,93.015625,407.5369895112535,MOCS3
GO_Molecular_Function_2023,1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841),0.02076321552164354,0.05468731259652558,0,0,53.13392857142857,205.87125008730249,GPAT2
GO_Molecular_Function_2023,Monoatomic Cation Transmembrane Transporter Activity (GO:0008324),0.02076321552164354,0.05468731259652558,0,0,53.13392857142857,205.87125008730249,UCP3
GO_Molecular_Function_2023,Lysophosphatidic Acid Acyltransferase Activity (GO:0042171),0.022132618719385815,0.05468731259652558,0,0,49.58888888888889,188.96851766160057,GPAT2
GO_Molecular_Function_2023,Inorganic Cation Transmembrane Transporter Activity (GO:0022890),0.023500183583452523,0.05468731259652558,0,0,46.486979166666664,174.36089977757499,UCP3
GO_Molecular_Function_2023,O-acyltransferase Activity (GO:0008374),0.024865912467124975,0.05468731259652558,0,0,43.75,161.6237608405337,GPAT2
GO_Molecular_Function_2023,Acylglycerol O-acyltransferase Activity (GO:0016411),0.027591871661187956,0.05468731259652558,0,0,39.14035087719298,140.52302063077965,GPAT2
GO_Molecular_Function_2023,Metal Ion Transmembrane Transporter Activity (GO:0046873),0.02895210666874884,0.05468731259652558,0,0,37.18125,131.70016326656966,UCP3
GO_Molecular_Function_2023,Proton Transmembrane Transporter Activity (GO:0015078),0.03707523993682057,0.06302790789259496,0,0,28.591346153846153,94.20293654897308,UCP3
GO_Molecular_Function_2023,Calcium Ion Transmembrane Transporter Activity (GO:0015085),0.05179853566871279,0.08005228239710159,0,0,20.07882882882883,59.441232325721344,UCP3
GO_Molecular_Function_2023,Cysteine-Type Peptidase Activity (GO:0008234),0.12346451533168921,0.17490806338655973,0,0,7.96326164874552,16.65756257772111,TINAGL1
GO_Molecular_Function_2023,Transcription Cis-Regulatory Region Binding (GO:0000976),0.3231698863142158,0.42260677441089756,0,0,2.6556461352657004,2.9997571403237018,LHX1
GO_Molecular_Function_2023,Double-Stranded DNA Binding (GO:0003690),0.40457615111086354,0.4633009398334894,0,0,1.992372495446266,1.8029283551227477,LHX1
GO_Molecular_Function_2023,Sequence-Specific Double-Stranded DNA Binding (GO:1990837),0.43524059213255295,0.4633009398334894,0,0,1.805624483043838,1.5020201295089022,LHX1
GO_Molecular_Function_2023,Sequence-Specific DNA Binding (GO:0043565),0.4360479433726959,0.4633009398334894,0,0,1.8010519801980198,1.4948786904703313,LHX1
GO_Molecular_Function_2023,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),0.616228338819448,0.616228338819448,0,0,1.0678092399403876,0.5169667139821761,LHX1
