Gene ontology (GO + KEGG) enrichment analysis

GO_Biological_Process_2023_up: 85 terms with FDR < 0.05
                                                                                          Term  Adjusted P-value  Combined Score
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)          0.000556     1603.989051
          Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)          0.000556     1603.989051
                 Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)          0.000701     1204.898851
                       Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)          0.010298     1123.919846
                                            MHC Class II Protein Complex Assembly (GO:0002399)          0.010298     1123.919846
    Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)          0.011297      932.766472
                                Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)          0.012325      792.675524
                                          Immunoglobulin Mediated Immune Response (GO:0016064)          0.028349      413.913057
                                         Cellular Response To Mechanical Stimulus (GO:0071260)          0.039239      277.022535
                                                  Mesodermal Cell Fate Commitment (GO:0001710)          0.039239             inf
                              Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)          0.039239      267.659530
                                     Positive Regulation Of Lymphocyte Activation (GO:0051251)          0.039636      250.485346
                               Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)          0.042704      214.901964
                               Negative Regulation Of DNA-templated Transcription (GO:0045892)          0.042704       40.829362
                                                  Regulation Of T Cell Activation (GO:0050863)          0.044807      197.482588

GO_Cellular_Component_2023_up: 22 terms with FDR < 0.05
                                                       Term  Adjusted P-value  Combined Score
                             Endocytic Vesicle (GO:0030139)          0.001192      256.694713
                                 Late Endosome (GO:0005770)          0.001192      248.956951
                  MHC Class II Protein Complex (GO:0042613)          0.003763     1020.418770
                           MHC Protein Complex (GO:0042611)          0.005615      641.746838
Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553)          0.006395      506.188374
                       Coated Vesicle Membrane (GO:0030662)          0.014768      208.813426
        ER To Golgi Transport Vesicle Membrane (GO:0012507)          0.014768      203.013369
                    Transport Vesicle Membrane (GO:0030658)          0.014768      197.482588
    Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)          0.014768      192.203516
              Clathrin-Coated Vesicle Membrane (GO:0030665)          0.016793      143.725458
             Clathrin-Coated Endocytic Vesicle (GO:0045334)          0.016793      146.939617
                        Late Endosome Membrane (GO:0031902)          0.016793      150.276704
    COPII-coated ER To Golgi Transport Vesicle (GO:0030134)          0.016982      134.758943
                     Specific Granule Membrane (GO:0035579)          0.017924      117.129003
                  trans-Golgi Network Membrane (GO:0032588)          0.017924      117.129003

GO_Molecular_Function_2023_up: 25 terms with FDR < 0.05
                                                                                 Term  Adjusted P-value  Combined Score
                                               Adenyl Nucleotide Binding (GO:0030554)          0.011762      932.766472
