Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Purine metabolism,0.009783504812245837,0.22502061068165424,0,0,15.085638998682477,69.8021189787104,ADK;DCK
KEGG_2021_Human,Cytokine-cytokine receptor interaction,0.0420791139114349,0.2973201459824782,0,0,6.679200940070506,21.16106958564169,CCR7;LTB
KEGG_2021_Human,RNA polymerase,0.04657771178194624,0.2973201459824782,0,0,23.95,73.445863707976,POLR1E
KEGG_2021_Human,Pyrimidine metabolism,0.07109850720741392,0.2973201459824782,0,0,14.953125,39.53141115207304,DCK
KEGG_2021_Human,Primary immunodeficiency,0.09106894770277336,0.2973201459824782,0,0,11.382936507936508,27.27509118362781,CD79A
KEGG_2021_Human,Malaria,0.0950132693828943,0.2973201459824782,0,0,10.863636363636363,25.570161542800246,KLRB1
KEGG_2021_Human,Glycolysis / Gluconeogenesis,0.10674788956443945,0.2973201459824782,0,0,9.555,21.377261967923992,MINPP1
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,0.10674788956443945,0.2973201459824782,0,0,9.555,21.377261967923992,SNORD3B-1
KEGG_2021_Human,TGF-beta signaling pathway,0.13733044380994522,0.2973201459824782,0,0,7.228535353535354,14.351282962489565,NOG
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,0.14853766866927065,0.2973201459824782,0,0,6.622685185185185,12.628908924387293,CCR7
KEGG_2021_Human,Inositol phosphate metabolism,0.15224225054034976,0.2973201459824782,0,0,6.4425675675675675,12.126730726701478,MINPP1
KEGG_2021_Human,Amoebiasis,0.15593135638504166,0.2973201459824782,0,0,6.271929824561403,11.655374255236584,CD1C
KEGG_2021_Human,Rheumatoid arthritis,0.17053425542527784,0.2973201459824782,0,0,5.670634920634921,10.030327304878936,LTB
KEGG_2021_Human,B cell receptor signaling pathway,0.2163374615131709,0.2973201459824782,0,0,4.320454545454545,6.614251991297741,CD79A
KEGG_2021_Human,Tight junction,0.2163374615131709,0.2973201459824782,0,0,4.320454545454545,6.614251991297741,CD1C
KEGG_2021_Human,Hematopoietic cell lineage,0.2163374615131709,0.2973201459824782,0,0,4.320454545454545,6.614251991297741,CD1C
KEGG_2021_Human,NF-kappa B signaling pathway,0.2197583687696578,0.2973201459824782,0,0,4.242559523809524,6.428439297128456,LTB
KEGG_2021_Human,Axon guidance,0.2433064545734214,0.3108915808438162,0,0,3.7665343915343916,5.323745888899515,EPHA4
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,0.2820959177046859,0.3316282150281444,0,0,3.1572222222222224,3.995490397295803,SH2D1B
KEGG_2021_Human,Ribosome,0.2883723608940386,0.3316282150281444,0,0,3.0741341991341993,3.822694220365427,RPS5
KEGG_2021_Human,RNA transport,0.3099276999888894,0.3394446237973551,0,0,2.814484126984127,3.2969323982229586,SNORD3B-1
KEGG_2021_Human,Chemokine signaling pathway,0.3681158442290692,0.38484838260311777,0,0,2.265224358974359,2.2637691703509777,CCR7
KEGG_2021_Human,Coronavirus disease,0.42157765384541585,0.42157765384541585,0,0,1.8931451612903225,1.6352065683547024,RPS5
