Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),0.00046741638529660263,0.021968570108940325,0,0,12.835053413000182,98.42291276590716,CLEC3B;GRN;ALOX5;NRG1
GO_Cellular_Component_2023,Platelet Dense Granule Lumen (GO:0031089),0.008300912854700268,0.151621338193033,0,0,149.83333333333334,717.9099031953591,CLEC3B
GO_Cellular_Component_2023,Lamellar Body (GO:0042599),0.009677957757002106,0.151621338193033,0,0,124.85416666666667,579.0616858787977,CKAP4
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),0.016228354223911664,0.15543558642917496,0,0,11.164216452924617,46.0076835968879,GRN;CKAP4
GO_Cellular_Component_2023,Platelet Dense Granule (GO:0042827),0.016535700683954782,0.15543558642917496,0,0,68.08333333333333,279.29373471599365,CLEC3B
GO_Cellular_Component_2023,Rough Endoplasmic Reticulum (GO:0005791),0.02741337427832879,0.1794248747537716,0,0,39.39912280701754,141.70778130844852,CKAP4
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),0.034046157255297124,0.1794248747537716,0,0,7.43185618729097,25.119957131374814,CLEC3B;NRG1
GO_Cellular_Component_2023,Endolysosome (GO:0036019),0.0341531716786169,0.1794248747537716,0,0,31.182291666666668,105.29947518979004,NRG1
GO_Cellular_Component_2023,Exocytic Vesicle Membrane (GO:0099501),0.03817550526675992,0.1794248747537716,0,0,27.712962962962962,90.49837637894919,MCTP1
GO_Cellular_Component_2023,Synaptic Vesicle Membrane (GO:0030672),0.03817550526675992,0.1794248747537716,0,0,27.712962962962962,90.49837637894919,MCTP1
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),0.04556953129175755,0.19470617915569136,0,0,4.099387658973151,12.661024207749712,MCTP1;CYP4F3;MGST2
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),0.05220333697266538,0.19735634565835247,0,0,3.8709893048128343,11.429517316255037,CYP27A1;ALOX5;CKAP4
GO_Cellular_Component_2023,Glutamatergic Synapse (GO:0098978),0.05804715301874954,0.19735634565835247,0,0,17.800595238095237,50.6693875035005,LRRC4
GO_Cellular_Component_2023,Platelet Alpha Granule Lumen (GO:0031093),0.06458300639575618,0.19735634565835247,0,0,15.902482269503546,43.569683922672716,NRG1
