Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Nucleolus (GO:0005730),0.0003817661138874696,0.005797904495957062,0,0,6.461711711711712,50.85820990448847,TSPYL2;DNAJC2;RCN2;BMS1;MAK16;SBDS;VRK1
GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),0.0003998554824797974,0.005797904495957062,0,0,6.40921668795232,50.14832228875098,TSPYL2;DNAJC2;RCN2;BMS1;MAK16;SBDS;VRK1
GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.003659795552082299,0.03537802367012889,0,0,4.255890052356021,23.87702421458311,TSPYL2;DNAJC2;RCN2;BMS1;MAK16;SBDS;VRK1
GO_Cellular_Component_2023,Platelet Dense Granule Lumen (GO:0031089),0.013589586506393142,0.09852450217135028,0,0,95.01041666666667,408.3976659078398,FAM3C
GO_Cellular_Component_2023,"Preribosome, Small Subunit Precursor (GO:0030688)",0.024333480963475006,0.12674811289689836,0,0,47.484375,176.44728685790633,RIOK1
GO_Cellular_Component_2023,Platelet Dense Granule (GO:0042827),0.02966321588522665,0.12674811289689836,0,0,37.979166666666664,133.60491738998118,FAM3C
GO_Cellular_Component_2023,"Preribosome, Large Subunit Precursor (GO:0030687)",0.03496499666121334,0.12674811289689836,0,0,31.64236111111111,106.10974098175701,MAK16
GO_Cellular_Component_2023,TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744),0.03496499666121334,0.12674811289689836,0,0,31.64236111111111,106.10974098175701,TIMM23
GO_Cellular_Component_2023,Core Mediator Complex (GO:0070847),0.042865560093012046,0.13812236029970548,0,0,25.305555555555557,79.70456849225732,MED6
GO_Cellular_Component_2023,Endoplasmic Reticulum Tubular Network (GO:0071782),0.05070401227187994,0.14704163558845182,0,0,21.08101851851852,62.85833190063067,ARV1
GO_Cellular_Component_2023,Golgi Stack (GO:0005795),0.05848082067988554,0.15417670906515277,0,0,18.063492063492063,51.28327329337461,VRK1
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space (GO:0005758),0.09397108180036018,0.215046696235927,0,0,10.821428571428571,25.59016999617326,TIMM23
GO_Cellular_Component_2023,Organelle Envelope Lumen (GO:0031970),0.1063321090184734,0.215046696235927,0,0,9.463541666666666,21.209575820817026,TIMM23
GO_Cellular_Component_2023,Mitochondrial Matrix (GO:0005759),0.10799290658576982,0.215046696235927,0,0,3.8026427962489344,8.463503032829724,TFAM;METTL15
GO_Cellular_Component_2023,Spindle Microtubule (GO:0005876),0.11123104977720362,0.215046696235927,0,0,9.010912698412698,19.7892772795583,SKA2
GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),0.12043360517513783,0.21828590937993733,0,0,3.5528520143597926,7.520167921895615,TIMM23;MRPL46
GO_Cellular_Component_2023,Organelle Inner Membrane (GO:0019866),0.13693660112083733,0.2243952335812532,0,0,3.2752394988946203,6.511953095127115,TIMM23;MRPL46
GO_Cellular_Component_2023,Nucleus (GO:0005634),0.1392798001538813,0.2243952335812532,0,0,1.6976292265837545,3.3464862757329534,TSPYL2;TCERG1;DNAJC2;UFL1;CLNS1A;SBDS;TFAM;VRK1;PHAX;MED6
GO_Cellular_Component_2023,Small-Subunit Processome (GO:0032040),0.1518439447700797,0.2259086578447669,0,0,6.4025423728813555,12.068164697566138,BMS1
GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),0.1557990743757013,0.2259086578447669,0,0,1.631562469896927,3.033381506688672,TSPYL2;TCERG1;DNAJC2;UFL1;CLNS1A;MAK16;SBDS;TFAM;VRK1;PHAX;MED6
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),0.2127086955320629,0.28451900500806343,0,0,4.379360465116279,6.778512848255639,TIMM23
GO_Cellular_Component_2023,Mitochondrial Membrane (GO:0031966),0.22326928434893484,0.28451900500806343,0,0,2.3620504562533546,3.541603377924595,TIMM23;MRPL46
GO_Cellular_Component_2023,Chromosome (GO:0005694),0.22565300397191237,0.28451900500806343,0,0,4.091032608695652,6.090552779962761,BMS1
GO_Cellular_Component_2023,Microtubule (GO:0005874),0.2509313777378747,0.3032087480999319,0,0,3.6141826923076925,4.996881428483052,SKA2
GO_Cellular_Component_2023,Spindle (GO:0005819),0.30301176950075015,0.3514936526208701,0,0,2.8830128205128207,3.4422701156276214,SKA2
GO_Cellular_Component_2023,Nuclear Membrane (GO:0031965),0.33516528529445744,0.37383820282843333,0,0,2.5447845804988662,2.781784134493922,DNAJC2
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),0.35418986152477555,0.3751977798990168,0,0,1.6685263562908812,1.7318005091579318,TFAM;METTL15
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),0.36225992541974034,0.3751977798990168,0,0,1.6379962192816635,1.6632103845057868,UFL1;ARV1
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),0.4712788023064772,0.4712788023064772,0,0,1.6186317321688501,1.2177054301688095,FAM3C
