Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Myosin Binding (GO:0017022),0.0022375493784573684,0.09673945437510376,0,0,32.97463768115942,201.22357294658397,GSN;TOM1
GO_Molecular_Function_2023,Flavin Adenine Dinucleotide Binding (GO:0050660),0.002974915583179624,0.09673945437510376,0,0,28.251552795031056,164.35452759264595,SORD;QSOX1
GO_Molecular_Function_2023,CDP-alcohol Phosphatidyltransferase Activity (GO:0017169),0.008175146274127859,0.09673945437510376,0,0,190.0625,913.5651832466951,PGS1
GO_Molecular_Function_2023,Protein Serine/Threonine Phosphatase Inhibitor Activity (GO:0004865),0.010885921987009184,0.09673945437510376,0,0,126.69444444444444,572.694982280725,PPP1R14B
GO_Molecular_Function_2023,Immunoglobulin Receptor Binding (GO:0034987),0.010885921987009184,0.09673945437510376,0,0,126.69444444444444,572.694982280725,FES
GO_Molecular_Function_2023,Potassium Ion Binding (GO:0030955),0.010885921987009184,0.09673945437510376,0,0,126.69444444444444,572.694982280725,HDAC4
GO_Molecular_Function_2023,Myosin II Binding (GO:0045159),0.013589586506393142,0.09673945437510376,0,0,95.01041666666667,408.3976659078398,GSN
GO_Molecular_Function_2023,Calcium-Dependent Protein Serine/Threonine Phosphatase Activity (GO:0004723),0.01628615714507865,0.09673945437510376,0,0,76.0,312.9254238039301,PPM1F
GO_Molecular_Function_2023,Zinc Ion Binding (GO:0008270),0.0179599315231913,0.09673945437510376,0,0,5.993282579489476,24.090670748844563,TRIM8;HDAC4;SORD
GO_Molecular_Function_2023,Alkali Metal Ion Binding (GO:0031420),0.01897565138891587,0.09673945437510376,0,0,63.326388888888886,251.06371447297957,HDAC4
GO_Molecular_Function_2023,Carbohydrate Kinase Activity (GO:0019200),0.01897565138891587,0.09673945437510376,0,0,63.326388888888886,251.06371447297957,HK2
GO_Molecular_Function_2023,"2 Iron, 2 Sulfur Cluster Binding (GO:0051537)",0.021658086800396364,0.09673945437510376,0,0,54.273809523809526,207.9976651294024,SORD
GO_Molecular_Function_2023,Clathrin Heavy Chain Binding (GO:0032050),0.021658086800396364,0.09673945437510376,0,0,54.273809523809526,207.9976651294024,TOM1
GO_Molecular_Function_2023,Phosphatidylinositol-5-Phosphate Binding (GO:0010314),0.021658086800396364,0.09673945437510376,0,0,54.273809523809526,207.9976651294024,TOM1
GO_Molecular_Function_2023,Dynactin Binding (GO:0034452),0.021658086800396364,0.09673945437510376,0,0,54.273809523809526,207.9976651294024,BICD2
GO_Molecular_Function_2023,Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),0.03231759177258802,0.11713273881506468,0,0,34.52272727272727,118.48695608590873,PPM1F
GO_Molecular_Function_2023,Histone Deacetylase Activity (GO:0004407),0.03231759177258802,0.11713273881506468,0,0,34.52272727272727,118.48695608590873,HDAC4
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),0.034189590255812495,0.11713273881506468,0,0,4.631138975966562,15.633956690416246,TRIM8;HDAC4;SORD
GO_Molecular_Function_2023,Protein Phosphatase Inhibitor Activity (GO:0004864),0.03496499666121334,0.11713273881506468,0,0,31.64236111111111,106.10974098175701,PPP1R14B
GO_Molecular_Function_2023,G Protein-Coupled Peptide Receptor Activity (GO:0008528),0.03496499666121334,0.11713273881506468,0,0,31.64236111111111,106.10974098175701,LTB4R
GO_Molecular_Function_2023,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),0.037094151891958346,0.11721784983253869,0,0,7.126482213438735,23.47674151299292,HDAC4;TFE3
GO_Molecular_Function_2023,Adenyl Nucleotide Binding (GO:0030554),0.0402389633753491,0.11721784983253869,0,0,27.116071428571427,87.12175505139753,SORD
GO_Molecular_Function_2023,FAD Binding (GO:0071949),0.0402389633753491,0.11721784983253869,0,0,27.116071428571427,87.12175505139753,QSOX1
GO_Molecular_Function_2023,Calcium Ion Binding (GO:0005509),0.04857308534500033,0.1355998632547926,0,0,6.112092391304348,18.487158458954337,PGS1;GSN
GO_Molecular_Function_2023,NAD Binding (GO:0051287),0.05070401227187994,0.13588675288863825,0,0,21.08101851851852,62.85833190063067,SORD
