Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Fructose and mannose metabolism,0.001457942252750061,0.04228032532975177,0,0,41.67505720823799,272.1685152447648,SORD;HK2
KEGG_2021_Human,"Neomycin, kanamycin and gentamicin biosynthesis",0.008175146274127859,0.11853962097485395,0,0,190.0625,913.5651832466951,HK2
KEGG_2021_Human,Neutrophil extracellular trap formation,0.021306557638941143,0.19576342312555464,0,0,9.709071390230811,37.367695143693815,HDAC4;SIGLEC9
KEGG_2021_Human,Pentose and glucuronate interconversions,0.027001851465593744,0.19576342312555464,0,0,42.2037037037037,152.43344057636477,SORD
KEGG_2021_Human,Viral carcinogenesis,0.047904706123452566,0.1967471871736759,0,0,6.1609038000684695,18.72016206172323,HDAC4;GSN
KEGG_2021_Human,Galactose metabolism,0.05589537178753451,0.1967471871736759,0,0,18.96875,54.71106668517393,HK2
KEGG_2021_Human,Type II diabetes mellitus,0.05848082067988554,0.1967471871736759,0,0,18.063492063492063,51.28327329337461,HK2
KEGG_2021_Human,Carbohydrate digestion and absorption,0.05848082067988554,0.1967471871736759,0,0,18.063492063492063,51.28327329337461,HK2
KEGG_2021_Human,Starch and sucrose metabolism,0.061059471881485625,0.1967471871736759,0,0,17.240530303030305,48.20291833879766,HK2
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,0.08144601045679087,0.2361934303246935,0,0,12.631944444444445,31.678578830190915,HK2
KEGG_2021_Human,Glycolysis / Gluconeogenesis,0.09397108180036018,0.2470268690429795,0,0,10.821428571428571,25.59016999617326,HK2
KEGG_2021_Human,Central carbon metabolism in cancer,0.10878481086193964,0.2470268690429795,0,0,9.231707317073171,20.47946774619924,HK2
KEGG_2021_Human,Renal cell carcinoma,0.12817512585752272,0.2470268690429795,0,0,7.717687074829932,15.85489048110097,TFE3
KEGG_2021_Human,Neuroactive ligand-receptor interaction,0.1305702455156722,0.2470268690429795,0,0,7.5625,15.396069624024808,LTB4R
KEGG_2021_Human,Mitophagy,0.13771776353178122,0.2470268690429795,0,0,7.132075471698113,14.139688237665357,TFE3
KEGG_2021_Human,Glycerophospholipid metabolism,0.14008770897634273,0.2470268690429795,0,0,6.999228395061729,13.756889339809332,PGS1
KEGG_2021_Human,Alcoholism,0.1448088542665742,0.2470268690429795,0,0,6.747767857142857,13.038986145003317,HDAC4
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,0.17261743890940967,0.24778806574582346,0,0,5.549632352941177,9.748914114987933,GSN
KEGG_2021_Human,Cell adhesion molecules,0.17261743890940967,0.24778806574582346,0,0,5.549632352941177,9.748914114987933,VCAN
KEGG_2021_Human,HIF-1 signaling pathway,0.17716698153106755,0.24778806574582346,0,0,5.3898809523809526,9.328065343113684,HK2
KEGG_2021_Human,Axon guidance,0.179432737264217,0.24778806574582346,0,0,5.313380281690141,9.128147499434133,FES
KEGG_2021_Human,Apelin signaling pathway,0.19290200972604643,0.25427992191160664,0,0,4.896103896103896,8.056896085981947,HDAC4
KEGG_2021_Human,Insulin signaling pathway,0.2235099011972365,0.28181683194434165,0,0,4.136446886446887,6.197636571647151,HK2
KEGG_2021_Human,MicroRNAs in cancer,0.2404965174985192,0.29059995864404403,0,0,3.798821548821549,5.413509393765111,HDAC4
KEGG_2021_Human,Transcriptional misregulation in cancer,0.2591800333552952,0.30064883869214243,0,0,3.478780864197531,4.697162458893633,TFE3
KEGG_2021_Human,Regulation of actin cytoskeleton,0.27942193690182804,0.31166292962126974,0,0,3.1804378531073447,4.055161057384282,GSN
KEGG_2021_Human,RNA transport,0.29523210182191917,0.31710114640132064,0,0,2.9758597883597884,3.6305294384871307,TACC3
KEGG_2021_Human,Shigellosis,0.3781440588674872,0.3916492038270403,0,0,2.1817738791423,2.1217315663878327,HK2
KEGG_2021_Human,Endocytosis,0.4069597775429274,0.4069597775429274,0,0,1.980718085106383,1.7807466195945088,IQSEC1
