Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,pre-miRNA Binding (GO:0070883),0.0021738740758185876,0.04234845889046631,0,0,inf,inf,DICER1
GO_Molecular_Function_2023,Immunoglobulin Receptor Binding (GO:0034987),0.004343431681073468,0.04234845889046631,0,0,500.6363636363636,2723.0065061260707,FGR
GO_Molecular_Function_2023,"Endodeoxyribonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016888)",0.004343431681073468,0.04234845889046631,0,0,500.6363636363636,2723.0065061260707,DICER1
GO_Molecular_Function_2023,siRNA Binding (GO:0035197),0.004343431681073468,0.04234845889046631,0,0,500.6363636363636,2723.0065061260707,DICER1
GO_Molecular_Function_2023,"RNA Endonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016891)",0.006508669051081804,0.0469135658563316,0,0,250.27272727272728,1260.028150886595,DICER1
GO_Molecular_Function_2023,LRR Domain Binding (GO:0030275),0.008669592008874506,0.0469135658563316,0,0,166.8181818181818,792.0416417202524,ZXDC
GO_Molecular_Function_2023,Dipeptidase Activity (GO:0016805),0.008669592008874506,0.0469135658563316,0,0,166.8181818181818,792.0416417202524,DPEP3
GO_Molecular_Function_2023,Calcium-Dependent Protein Serine/Threonine Phosphatase Activity (GO:0004723),0.010826207505307293,0.0469135658563316,0,0,125.0909090909091,566.1346179771581,PPM1F
GO_Molecular_Function_2023,C2H2 Zinc Finger Domain Binding (GO:0070742),0.010826207505307293,0.0469135658563316,0,0,125.0909090909091,566.1346179771581,ZXDC
GO_Molecular_Function_2023,RNA Endonuclease Activity (GO:0004521),0.017270283262944504,0.06735410472548356,0,0,71.44155844155844,289.9647101964344,DICER1
GO_Molecular_Function_2023,Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),0.019409743499845623,0.06881636331763448,0,0,62.5,246.37375604588757,PPM1F
GO_Molecular_Function_2023,Regulatory RNA Binding (GO:0061980),0.02367586230682885,0.07694655249719376,0,0,49.981818181818184,187.09690090913801,DICER1
GO_Molecular_Function_2023,Endonuclease Activity (GO:0004519),0.0321571079161715,0.0964713237485145,0,0,35.675324675324674,122.62043497546527,DICER1
GO_Molecular_Function_2023,RNA Nuclease Activity (GO:0004540),0.04057077269267337,0.09773672558231752,0,0,27.727272727272727,88.85779487181223,DICER1
GO_Molecular_Function_2023,Exopeptidase Activity (GO:0008238),0.04057077269267337,0.09773672558231752,0,0,27.727272727272727,88.85779487181223,DPEP3
GO_Molecular_Function_2023,Kinase Binding (GO:0019900),0.04349819409025784,0.09773672558231752,0,0,6.953246753246753,21.798677893411686,FGR;HCLS1
GO_Molecular_Function_2023,Phosphotyrosine Residue Binding (GO:0001784),0.046836965305324614,0.09773672558231752,0,0,23.753246753246753,72.71064868804565,FGR
GO_Molecular_Function_2023,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),0.04891734512988997,0.09773672558231752,0,0,22.669421487603305,68.40777310161572,FGR
GO_Molecular_Function_2023,Protein Kinase Binding (GO:0019901),0.05244428600625267,0.09773672558231752,0,0,6.242105263157895,18.40175060884333,FGR;HCLS1
GO_Molecular_Function_2023,Protein Serine/Threonine Phosphatase Activity (GO:0004722),0.0530656236713829,0.09773672558231752,0,0,20.772727272727273,60.993420846916024,PPM1F
GO_Molecular_Function_2023,Protein Phosphorylated Amino Acid Binding (GO:0045309),0.055133537507973986,0.09773672558231752,0,0,19.938181818181818,57.780792725069794,FGR
GO_Molecular_Function_2023,Double-Stranded RNA Binding (GO:0003725),0.055133537507973986,0.09773672558231752,0,0,19.938181818181818,57.780792725069794,DICER1
GO_Molecular_Function_2023,Protein Tyrosine Kinase Activity (GO:0004713),0.0674543388471267,0.11437909630599745,0,0,16.06158357771261,43.30691801429758,FGR
GO_Molecular_Function_2023,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",0.0995933947380695,0.16183926644936292,0,0,10.562862669245648,24.364926831148775,CEBPB
GO_Molecular_Function_2023,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),0.11333228602179209,0.17679836619399567,0,0,9.181818181818182,19.992777299796312,CEBPB
GO_Molecular_Function_2023,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),0.15713274348214412,0.23569911522321618,0,0,6.412042502951594,11.866538348948206,HCLS1
GO_Molecular_Function_2023,Ubiquitin-Like Protein Transferase Activity (GO:0019787),0.18642297744799588,0.2692776340915496,0,0,5.293255131964809,8.89127710303884,CHFR
GO_Molecular_Function_2023,DNA-binding Transcription Factor Binding (GO:0140297),0.19538297780763333,0.2721405762320607,0,0,5.0185528756957325,8.194261306597953,HCLS1
GO_Molecular_Function_2023,Transcription Cis-Regulatory Region Binding (GO:0000976),0.21128338395628105,0.2841397232515504,0,0,4.588785046728972,7.133518713850771,CEBPB
GO_Molecular_Function_2023,Double-Stranded DNA Binding (GO:0003690),0.22345065993830251,0.29048585791979326,0,0,4.301435406698564,6.445979045606755,CEBPB
GO_Molecular_Function_2023,Sequence-Specific Double-Stranded DNA Binding (GO:1990837),0.2455916421128962,0.3001253129715878,0,0,3.8518253400143165,5.408290620768304,CEBPB
GO_Molecular_Function_2023,Sequence-Specific DNA Binding (GO:0043565),0.24727059015490463,0.3001253129715878,0,0,3.821022727272727,5.33900820300169,CEBPB
GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Activity (GO:0004842),0.2539521878990358,0.3001253129715878,0,0,3.7024793388429753,5.0746524901036105,CHFR
GO_Molecular_Function_2023,Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),0.31013928484880526,0.3507437851370876,0,0,2.9074578116494285,3.4038590636919603,CEBPB
GO_Molecular_Function_2023,RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),0.3147700635845658,0.3507437851370876,0,0,2.8545454545454545,3.2996058105804487,CEBPB
GO_Molecular_Function_2023,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),0.33749948393248996,0.3656244409268641,0,0,2.615724815724816,2.841177532174233,CEBPB
GO_Molecular_Function_2023,Protein Homodimerization Activity (GO:0042803),0.35808794472482075,0.3774440498450813,0,0,2.425308359981727,2.490735096209062,CEBPB
GO_Molecular_Function_2023,DNA Binding (GO:0003677),0.38787286864888937,0.39808004940280756,0,0,2.185123966942149,2.069482074131068,CEBPB
GO_Molecular_Function_2023,RNA Binding (GO:0003723),0.722682541452084,0.722682541452084,0,0,0.8064516129032258,0.26192357933708804,DICER1
