Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),2.60345264951213e-06,0.000984105101515585,0,0,151.22727272727272,1944.5819052808777,DEFA4;NRG1;LTF
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),1.2998758327595346e-05,0.0024567653239155204,0,0,82.42561983471074,927.3423535555992,DEFA4;NRG1;LTF
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),2.7182572258209825e-05,0.0027620979439584143,0,0,27.690214547357403,291.105412265262,DEFA4;LCN2;MPO;LTF
GO_Biological_Process_2023,Iron Coordination Entity Transport (GO:1901678),3.3575820395533066e-05,0.0027620979439584143,0,0,386.0,3976.457891119724,LCN2;NRG1
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),3.653568708939702e-05,0.0027620979439584143,0,0,56.625,578.5501417617068,DEFA4;NRG1;LTF
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),7.034779990264007e-05,0.004431911393866324,0,0,231.56521739130434,2214.240282271431,DEFA4;LTF
GO_Biological_Process_2023,Negative Regulation Of Secretion (GO:0051048),9.368956367034909e-05,0.005053436485011602,0,0,192.95652173913044,1789.7728011073518,EGF;NRG1
GO_Biological_Process_2023,ERBB2 Signaling Pathway (GO:0038128),0.00012031991630980003,0.005053436485011602,0,0,165.37888198757764,1492.6033498677698,EGF;NRG1
GO_Biological_Process_2023,Regulation Of Secretion (GO:0051046),0.00012031991630980003,0.005053436485011602,0,0,165.37888198757764,1492.6033498677698,EGF;NRG1
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),0.00018340077115468377,0.006932549149647046,0,0,128.6086956521739,1106.5282276009748,DEFA4;LTF
GO_Biological_Process_2023,Antibacterial Humoral Response (GO:0019731),0.0003485253098784514,0.011976597012186785,0,0,89.01003344481606,708.6800580418053,DEFA4;LTF
GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),0.0005061058846669018,0.015942335367007406,0,0,72.30434782608695,548.700678992619,INHBA;MMP8
GO_Biological_Process_2023,Endoderm Formation (GO:0001706),0.0006270568723062636,0.018232884440905206,0,0,64.26086956521739,473.8900678724365,INHBA;MMP8
GO_Biological_Process_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),0.0006922681453739076,0.018691239925095506,0,0,60.87414187643021,442.8920827714076,CEACAM6;CEACAM8
GO_Biological_Process_2023,Nitrogen Compound Transport (GO:0071705),0.00080901692050593,0.019040956570329216,0,0,18.78409090909091,133.73691783784346,TCN1;SLC26A8;NRG1
GO_Biological_Process_2023,Positive Regulation Of DNA Binding (GO:0043388),0.000832106855624855,0.019040956570329216,0,0,55.06832298136646,390.5197489407045,EGF;MMP8
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.0009067122176347245,0.019040956570329216,0,0,52.56126482213439,368.22768812265247,NRG1;LTF
GO_Biological_Process_2023,Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),0.0009067122176347245,0.019040956570329216,0,0,52.56126482213439,368.22768812265247,EGF;INHBA
GO_Biological_Process_2023,Negative Regulation Of Transport (GO:0051051),0.0011491404550930445,0.02171875460125854,0,0,46.243478260869566,313.0101294338647,EGF;NRG1
GO_Biological_Process_2023,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),0.0011491404550930445,0.02171875460125854,0,0,46.243478260869566,313.0101294338647,CEACAM6;NRG1
GO_Biological_Process_2023,Defense Response To Gram-negative Bacterium (GO:0050829),0.0014192574275829724,0.025475118442895798,0,0,41.27950310559006,270.6953563509354,DEFA4;LTF
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),0.0014826788511738294,0.025475118442895798,0,0,9.34765485141425,60.8897337377662,CEACAM6;EGF;NRG1;LTF
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Differentiation (GO:0045620),0.0018733255794031543,0.02918443467305312,0,0,inf,inf,INHBA
GO_Biological_Process_2023,Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171),0.0018733255794031543,0.02918443467305312,0,0,inf,inf,NRG1
GO_Biological_Process_2023,ERBB Signaling Pathway (GO:0038127),0.001930187478376529,0.02918443467305312,0,0,35.01185770750988,218.82894727045533,EGF;NRG1
GO_Biological_Process_2023,Regulation Of Cell Death (GO:0010941),0.0020413868619453043,0.0296786243775125,0,0,33.97953964194373,210.47354547283814,HP;OLFM4
GO_Biological_Process_2023,Regulation Of DNA Binding (GO:0051101),0.0023928194293804297,0.03349947201132601,0,0,31.217391304347824,188.40578888156523,EGF;MMP8
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction (GO:0009968),0.002720956075295047,0.036732907016483136,0,0,12.136363636363637,71.68673244991206,NRG1;APCDD1;LTF
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),0.0029837849667271087,0.03889209370423611,0,0,11.735294117647058,68.23560299614911,EGF;NRG1;MMP8
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),0.003726714083262431,0.04161664720609416,0,0,7.184939091915836,40.179820272586845,CEACAM6;EGF;HP;NRG1
GO_Biological_Process_2023,Positive Regulation Of Microglial Cell Activation (GO:1903980),0.003743296309542861,0.04161664720609416,0,0,554.9583333333334,3100.989898167567,MMP8
