Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Specific Granule Lumen (GO:0035580),2.338587673622749e-16,8.65277439240417e-15,0,0,169.7215909090909,6108.587982536043,ARG1;TCN1;DEFA4;CRISP3;LCN2;HP;OLFM4;MMP8;LTF
GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),4.951931596444393e-15,9.161073453422127e-14,0,0,51.62130177514793,1700.3539906671763,ARG1;TCN1;EGF;DEFA4;CRISP3;LCN2;HP;NRG1;OLFM4;MMP8;MPO;LTF
GO_Cellular_Component_2023,Specific Granule (GO:0042581),3.5841849527876426e-14,4.4204947751047596e-13,0,0,67.11959287531806,2077.9997883838805,ARG1;TCN1;DEFA4;CRISP3;LCN2;HP;CEACAM8;OLFM4;MMP8;LTF
GO_Cellular_Component_2023,Tertiary Granule Lumen (GO:1904724),2.3076033691440668e-10,2.134533116458262e-09,0,0,102.27727856225931,2269.4961394223906,TCN1;CRISP3;HP;OLFM4;MMP8;LTF
GO_Cellular_Component_2023,Tertiary Granule (GO:0070820),4.9375173862442645e-09,3.653762865820756e-08,0,0,38.558479532163744,737.4850257504983,TCN1;CRISP3;HP;CEACAM8;OLFM4;MMP8;LTF
GO_Cellular_Component_2023,Azurophil Granule (GO:0042582),1.1056800009125907e-07,6.818360005627643e-07,0,0,33.881899871630296,542.7079093100272,CEACAM6;ARG1;DEFA4;CEACAM8;OLFM4;MPO
GO_Cellular_Component_2023,Primary Lysosome (GO:0005766),6.908738021048109e-07,3.651761525411143e-06,0,0,259.34415584415586,3678.8768999917347,DEFA4;OLFM4;MPO
GO_Cellular_Component_2023,Endocytic Vesicle Lumen (GO:0071682),2.085334733144599e-06,9.64467314079377e-06,0,0,164.98760330578511,2158.1337374356162,HP;MPO;LTF
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),5.798621717183608e-05,0.0002383877817064372,0,0,8.894265232974911,86.76627197192859,TCN1;DEFA4;CRISP3;HP;OLFM4;MMP8;LTF
GO_Cellular_Component_2023,Platelet Alpha Granule Lumen (GO:0031093),0.002902614151202659,0.010739672359449838,0,0,28.163308589607635,164.53409068238278,EGF;NRG1
GO_Cellular_Component_2023,Azurophil Granule Membrane (GO:0035577),0.00421861286665584,0.014189879642387826,0,0,23.078260869565216,126.19767483438737,CEACAM6;CEACAM8
GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),0.005947700608876736,0.0183387435440366,0,0,19.217391304347824,98.484337356153,EGF;NRG1
GO_Cellular_Component_2023,Azurophil Granule Lumen (GO:0035578),0.007319985116710802,0.02083380379371536,0,0,17.200519143413366,84.57748083352149,ARG1;MPO
GO_Cellular_Component_2023,Phagocytic Vesicle (GO:0045335),0.01143518868219944,0.030221570088669946,0,0,13.539641943734015,60.536550848657626,MPO;LTF
GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),0.016103375939558733,0.03972166065091154,0,0,6.2368421052631575,25.750214298914145,CEACAM6;EGF;CEACAM8
GO_Cellular_Component_2023,Vacuolar Lumen (GO:0005775),0.017850907568079413,0.04128022375118364,0,0,10.63768115942029,42.82412291417093,ARG1;MPO
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),0.03063721921213461,0.06467112560211459,0,0,7.901049475262369,27.53942157828476,NRG1;MMP8
GO_Cellular_Component_2023,Lysosome (GO:0005764),0.033130851711267104,0.06467112560211459,0,0,4.681577043646009,15.951492306269483,EGF;NRG1;MPO
GO_Cellular_Component_2023,Voltage-Gated Calcium Channel Complex (GO:0005891),0.033209496930815596,0.06467112560211459,0,0,32.60539215686274,111.0187320331826,CACNA1E
GO_Cellular_Component_2023,Calcium Channel Complex (GO:0034704),0.04583622271820357,0.0807590590749301,0,0,23.083333333333332,71.15854411329282,CACNA1E
GO_Cellular_Component_2023,Endolysosome (GO:0036019),0.04583622271820357,0.0807590590749301,0,0,23.083333333333332,71.15854411329282,NRG1
GO_Cellular_Component_2023,Golgi Lumen (GO:0005796),0.05830455665959576,0.09805766347295651,0,0,17.861559139784948,50.76389122542984,DEFA4
GO_Cellular_Component_2023,Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),0.06711458991953453,0.10473834957203602,0,0,15.375,41.533315031356416,EGF
GO_Cellular_Component_2023,Secretory Granule Membrane (GO:0030667),0.06793838891159093,0.10473834957203602,0,0,5.01551426929707,13.487490409456944,CEACAM6;CEACAM8
GO_Cellular_Component_2023,Clathrin-Coated Endocytic Vesicle (GO:0045334),0.08621900110642366,0.12269627080529522,0,0,11.766843971631205,28.838942463230246,EGF
GO_Cellular_Component_2023,Clathrin-Coated Vesicle Membrane (GO:0030665),0.08621900110642366,0.12269627080529522,0,0,11.766843971631205,28.838942463230246,EGF
GO_Cellular_Component_2023,Tertiary Granule Membrane (GO:0070821),0.11166608473569842,0.15302389389706822,0,0,8.90994623655914,19.532760559716884,CEACAM8
GO_Cellular_Component_2023,Specific Granule Membrane (GO:0035579),0.13968372641457077,0.18458206704782565,0,0,6.983649789029536,13.74643822465539,CEACAM8
GO_Cellular_Component_2023,Endocytic Vesicle Membrane (GO:0030666),0.17624262613666722,0.2248612816226444,0,0,5.3995098039215685,9.372974920439717,EGF
GO_Cellular_Component_2023,Recycling Endosome (GO:0055037),0.1947200058115478,0.2401546738342423,0,0,4.826754385964913,7.897499904372501,LTF
GO_Cellular_Component_2023,Endocytic Vesicle (GO:0030139),0.22902888602388533,0.27335705751237926,0,0,4.009428223844282,5.909524900637245,HP
GO_Cellular_Component_2023,Lytic Vacuole (GO:0000323),0.278559518308449,0.32208444304414413,0,0,3.185077519379845,4.070922529349152,MPO
GO_Cellular_Component_2023,Early Endosome (GO:0005769),0.3402872847661068,0.3815342283741197,0,0,2.492579908675799,2.6869140581665563,LTF
GO_Cellular_Component_2023,Lytic Vacuole Membrane (GO:0098852),0.35521562628821857,0.3865581815489437,0,0,2.360930735930736,2.4436347909988276,EGF
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),0.6449699065862705,0.6818253298197717,0,0,0.9861111111111112,0.4324606250117303,PLOD2
